,municipio,codEstacao,uf,nomeEstacao,latitude,longitude,datahora,valorMedida,semana,hora,data
341365,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-20 00:10:00,0.0,4,0,2025-01-20
341366,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-20 01:10:00,0.0,4,1,2025-01-20
341367,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-20 02:10:00,0.0,4,2,2025-01-20
341368,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-20 03:10:00,0.0,4,3,2025-01-20
341369,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-20 04:10:00,0.0,4,4,2025-01-20
341370,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-20 05:10:00,0.0,4,5,2025-01-20
341371,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-20 06:10:00,0.0,4,6,2025-01-20
341372,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-20 07:10:00,0.0,4,7,2025-01-20
341373,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-20 08:10:00,0.0,4,8,2025-01-20
341374,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-20 09:10:00,0.0,4,9,2025-01-20
341375,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-20 10:10:00,0.0,4,10,2025-01-20
341376,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-20 11:10:00,0.0,4,11,2025-01-20
341377,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-20 12:10:00,0.0,4,12,2025-01-20
341378,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-20 13:10:00,0.0,4,13,2025-01-20
